CouncillorId,CouncillorName,Party,Position,Canton,Region,Date_de_naissance,Age,Sexe,Voting_Object,Vote,Party_Vote,VoteAgainstParty
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,01. Augmentation progressive des depenses de l'armee,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,02. Transparence sur les cas de discours haineux dans les medias sociaux,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,03. Prevenir le gaspillage d'energie d? aux appareils qui tournent inutilement,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,04. Amelioration de la securite routiere gr?ce ? l'echange d'informations. Permettre ? la police suisse d'acceder ? l'ERRU,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,05. Agir pour une plus grande neutralite des algorithmes,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,06. Assurer la distanciation physique dans les deplacements,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,07. Pour une prise en consideration des co?ts sur la sante et l'environnement du transport motorise,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,08. Proteger efficacement les moins de 16 ans contre la pornographie sur Internet. #banporn4kids#,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,09. Un bilan CO2 des activites de la Confederation,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,10. Programme d'impulsion Covid dans les domaines de l'energie et de la biodiversite,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,11. Le Conseil federal s'engage au niveau international en faveur de l'introduction d'une taxe sur le kerosene,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,12. Vols court-courriers. Strategie de transfert,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,13. Modification de la Convention de Chicago. Il est temps d'imposer le trafic aerien,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,14. Viabilite du service public suisse,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,15. Contre la distribution des benefices des entreprises du service public,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,16. Installation de telephonie mobile avec la technologie de la 5G. Consequences des ondes millimetriques sur la nature et les personnes,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,17. Pour une interdiction des farts fluores nocifs dans le sport populaire,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,18. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,19. Code de procedure civile. Modification,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,20. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,21. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,22. Code de procedure civile. Modification,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,23. Code de procedure civile. Modification,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,24. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,25. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,26. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,27. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,28. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,29. Code de procedure civile. Modification,Yes,No,1
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,30. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,31. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,32. Code de procedure civile. Modification,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,33. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,34. Code de procedure civile. Modification,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,35. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,36. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,37. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,38. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,39. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,40. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,41. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,42. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,43. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,44. Code de procedure civile. Modification,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,45. Code de procedure civile. Modification,No,No,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,46. Code de procedure civile. Modification,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,47. Code de procedure civile. Modification,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,48. Protection juridique ? titre preventif en dehors des heures de bureau,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,49. Loi sur la TVA. Revision partielle,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,50. Loi sur la TVA. Revision partielle,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,51. Loi sur la TVA. Revision partielle,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,52. Loi sur la TVA. Revision partielle,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,53. Loi sur la TVA. Revision partielle,Yes,Yes,0
2513,Maillard Pierre-Yves,Socialists,Left,VD,swiss french,16/03/1968,54,M,54. Loi sur la TVA. Revision partielle,Yes,Yes,0
